rank,school_name,state,school_sector,school_type,icsea,value_score,affordability_percentile,sa2_name
66,"Carmel School",WA,"Independent","Combined",1149,87.73,79.52,"Yokine - Coolbinia - Menora"
67,"Lance Holt School",WA,"Independent","Primary",1158,87.63,81.82,"Fremantle"
68,"Ascham School",NSW,"Independent","Combined",1217,87.61,69.33,"Double Bay - Darling Point"
69,"Alphington Grammar School",VIC,"Independent","Combined",1150,87.58,82.6,"Clifton Hill - Alphington"
70,"Spensley Street Primary School",VIC,"Government","Primary",1170,87.57,82.6,"Clifton Hill - Alphington"
71,"Holy Cross School",QLD,"Catholic","Primary",1137,87.55,82.35,"Wooloowin - Lutwyche"
72,"Campbell High School",ACT,"Government","Secondary",1120,87.55,92.24,"Campbell"
73,"St Patrick's Special School",SA,"Catholic","Special",1115,87.44,81.37,"Toorak Gardens"
74,"SHORE - Sydney Church of England Grammar School",NSW,"Independent","Combined",1205,87.33,73.7,"North Sydney - Lavender Bay"
75,"De La Salle College",VIC,"Catholic","Combined",1131,87.25,86.18,"Malvern - Glen Iris"
76,"Wesley College",WA,"Independent","Combined",1147,87.22,83.98,"South Perth - Kensington"
77,"Fitzroy Community School",VIC,"Independent","Primary",1221,87.07,73.84,"Fitzroy North"
78,"Campbell Primary School",ACT,"Government","Primary",1136,87.01,92.24,"Campbell"
79,"Brunswick East Primary School",VIC,"Government","Primary",1162,86.98,82.57,"Brunswick East"
80,"Pembroke School",SA,"Independent","Combined",1171,86.88,73.46,"Burnside - Wattle Park"
81,"Brunswick South Primary School",VIC,"Government","Primary",1171,86.86,82.57,"Brunswick East"
82,"Blessed Sacrament Catholic Primary School",NSW,"Catholic","Primary",1188,86.85,74.41,"Mosman - South"
83,"Monte Sant' Angelo Mercy College",NSW,"Independent","Secondary",1179,86.76,73.7,"North Sydney - Lavender Bay"
84,"Hillbrook Anglican School",QLD,"Independent","Secondary",1174,86.69,82.12,"Enoggera"
85,"Ivanhoe Girls' Grammar School",VIC,"Independent","Combined",1181,86.61,71.45,"Ivanhoe"
86,"The Scots School Albury",NSW,"Independent","Combined",1132,86.59,91.28,"Albury - South"
87,"Wenona School",NSW,"Independent","Combined",1187,86.58,73.7,"North Sydney - Lavender Bay"
88,"Cranbrook School",NSW,"Independent","Combined",1181,86.57,70.56,"Bellevue Hill"
